Host_OS,Platform,Isolation_Type,Test_Type,Metric,Unit,n,mean,median,stdev,cv_pct,min,max,overhead_pct_vs_baremetal,efficiency_ratio_pct,n_trimmed,trimmed_mean,trimmed_median,trimmed_stdev,trimmed_cv_pct,trimmed_overhead_pct,trimmed_efficiency_ratio_pct,iqr_outliers
Ubuntu 24.04 LTS,LXC,Container,fio,seq_rw_read_clat_mean_us,us,10,3391.2678,3397.9835,25.7897,0.76,3341.222,3423.871,2.55,102.55,8,3393.4481,3397.9835,18.4407,0.54,2.6,102.6,1
Ubuntu 24.04 LTS,LXC,Container,fio,seq_rw_read_clat_p99_9_us,us,10,30841.2416,22937.6,13034.0397,42.26,22151.168,50069.504,-22.29,77.71,8,29523.968,22937.6,12362.6776,41.87,-27.07,72.93,0
Ubuntu 24.04 LTS,LXC,Container,fio,seq_rw_read_clat_p99_us,us,10,7454.72,7241.728,831.451,11.15,6782.976,9502.72,-6.26,93.74,8,7282.688,7241.728,437.4427,6.01,-7.59,92.41,1
Ubuntu 24.04 LTS,LXC,Container,fio,seq_rw_read_iops,iops,10,147.019,146.47,1.6852,1.15,144.56,149.88,1.28,98.72,8,146.9688,146.47,1.2709,0.86,1.31,98.69,0
Ubuntu 24.04 LTS,LXC,Container,fio,seq_rw_write_bw,MB/s,10,146.913,146.41,1.6857,1.15,144.45,149.66,1.35,98.65,8,146.8775,146.41,1.3067,0.89,1.36,98.64,0
Ubuntu 24.04 LTS,LXC,Container,fio,seq_rw_write_clat_mean_us,us,10,3327.5602,3337.7325,52.9387,1.59,3248.351,3400.883,-0.35,99.65,8,3328.296,3337.7325,44.0258,1.32,-0.2,99.8,0
Ubuntu 24.04 LTS,LXC,Container,fio,seq_rw_write_clat_p99_9_us,us,10,42729.472,40632.32,4252.1592,9.95,38010.88,49020.928,2.42,102.42,8,42532.864,40632.32,3790.4194,8.91,-3.13,96.87,0
Ubuntu 24.04 LTS,LXC,Container,fio,seq_rw_write_clat_p99_us,us,10,8146.1248,8716.288,1088.3493,13.36,6782.976,9633.792,10.59,110.59,8,8130.56,8716.288,970.0716,11.93,13.62,113.62,0
Ubuntu 24.04 LTS,LXC,Container,fio,seq_rw_write_iops,iops,10,146.915,146.41,1.6848,1.15,144.45,149.66,1.35,98.65,8,146.88,146.41,1.3053,0.89,1.36,98.64,0
Ubuntu 24.04 LTS,LXC,Container,fractal_mandelbrot,runtime,seconds,10,111.4571,111.1429,2.2416,2.01,109.1437,116.1066,-0.34,99.66,8,111.1651,111.1429,1.5843,1.43,-0.52,99.48,0
Ubuntu 24.04 LTS,LXC,Container,ioping,ioping_lat_avg_us,us,10,1104.91,1100.0,94.7838,8.58,879.1,1200.0,-2.81,97.19,8,1121.25,1100.0,51.6686,4.61,-0.77,99.23,1
Ubuntu 24.04 LTS,LXC,Container,ioping,ioping_lat_max_us,us,10,1310.0,1320.0,35.9011,2.74,1230.0,1350.0,-28.65,71.35,8,1315.0,1320.0,22.0389,1.68,1.54,101.54,1
Ubuntu 24.04 LTS,LXC,Container,ioping,ioping_lat_mdev_us,us,10,258.49,231.2,74.5726,28.85,181.6,435.0,-16.29,83.71,8,246.0375,231.2,40.9551,16.65,5.83,105.83,1
Ubuntu 24.04 LTS,LXC,Container,ioping,ioping_lat_min_us,us,10,499.49,606.3,229.9602,46.04,157.3,742.6,-8.05,91.95,8,511.875,606.3,206.5054,40.34,-11.43,88.57,0
Ubuntu 24.04 LTS,LXC,Container,ioping,ioping_seek_iops,iops,10,10720.0,10750.0,181.3529,1.69,10500.0,10900.0,-1.66,101.66,8,10725.0,10750.0,175.2549,1.63,-1.31,101.31,0
Ubuntu 24.04 LTS,LXC,Container,iperf3,localhost_recv_gbps,Gbps,10,48.6171,48.5268,0.3349,0.69,48.1447,49.2173,-0.66,100.66,8,48.6011,48.5268,0.2462,0.51,-0.48,100.48,2
Ubuntu 24.04 LTS,LXC,Container,iperf3,localhost_retransmits,count,10,0.1,0.0,0.3162,316.23,0.0,1.0,,,8,0.0,0.0,0.0,0.0,,,1
Ubuntu 24.04 LTS,LXC,Container,iperf3,localhost_send_gbps,Gbps,10,48.6174,48.5271,0.335,0.69,48.1447,49.2176,-0.66,100.66,8,48.6014,48.5271,0.2461,0.51,-0.48,100.48,2
Ubuntu 24.04 LTS,LXC,Container,iperf3,remote_tcp_recv_gbps,Gbps,10,0.8999,0.9339,0.1063,11.82,0.5973,0.9343,3.61,96.39,8,0.9335,0.9339,0.0009,0.1,0.05,99.95,1
Ubuntu 24.04 LTS,LXC,Container,iperf3,remote_tcp_retransmits,count,10,264.4,270.0,36.3813,13.76,169.0,315.0,,,8,270.0,270.0,0.0,0.0,,,2
Ubuntu 24.04 LTS,LXC,Container,iperf3,remote_tcp_send_gbps,Gbps,10,0.9027,0.9365,0.1062,11.77,0.6004,0.9372,3.6,96.4,8,0.9362,0.9365,0.0009,0.1,0.04,99.96,1
Ubuntu 24.04 LTS,LXC,Container,iperf3,remote_udp_jitter_ms,ms,10,0.0178,0.0129,0.0109,61.15,0.009,0.041,17.15,117.15,8,0.016,0.0129,0.0078,48.84,12.84,112.84,0
Ubuntu 24.04 LTS,LXC,Container,iperf3,remote_udp_lost_pct,percent,10,8.7466,5.5282,8.7939,100.54,4.443,33.3481,231.84,331.84,8,6.2094,5.5282,1.7212,27.72,175.35,275.35,2
Ubuntu 24.04 LTS,LXC,Container,iperf3,remote_udp_recv_gbps,Gbps,10,0.9006,0.9328,0.0879,9.77,0.6546,0.9437,2.48,97.52,8,0.926,0.9328,0.0172,1.86,0.13,99.87,2
Ubuntu 24.04 LTS,LXC,Container,iperf3,remote_udp_send_gbps,Gbps,10,0.9999,0.9999,0.0,0.0,0.9999,0.9999,-5.4,105.4,8,0.9999,0.9999,0.0,0.0,-5.4,105.4,0
Ubuntu 24.04 LTS,LXC,Container,iperf3,remote_udp_udp_gbps,Gbps,10,0.9999,0.9999,0.0,0.0,0.9999,0.9999,-5.4,105.4,8,0.9999,0.9999,0.0,0.0,-5.4,105.4,0
Ubuntu 24.04 LTS,LXC,Container,kernel_compile,cpu_percent,percent,10,385.9,386.0,0.3162,0.08,385.0,386.0,0.26,99.74,8,386.0,386.0,0.0,0.0,0.26,99.74,1
