Host_OS,Platform,Isolation_Type,Test_Type,Metric,Unit,n,mean,median,stdev,cv_pct,min,max,overhead_pct_vs_baremetal,efficiency_ratio_pct
Windows Server 2025,VMware,VM,mbw,mbw_memcpy_bandwidth,MiB/s,10,6433.8136,6426.6145,16.8091,0.26,6417.279,6468.469,,
Windows Server 2025,VMware,VM,stream,stream_add_bandwidth,MB/s,10,15321.91,15343.1,50.4932,0.33,15215.4,15373.3,,
Windows Server 2025,VMware,VM,stream,stream_copy_bandwidth,MB/s,10,21675.02,21688.95,113.3556,0.52,21439.2,21838.6,,
Windows Server 2025,VMware,VM,stream,stream_scale_bandwidth,MB/s,10,13823.38,13832.1,30.6138,0.22,13763.5,13861.2,,
Windows Server 2025,VMware,VM,stream,stream_triad_bandwidth,MB/s,10,15263.05,15266.2,39.4775,0.26,15189.0,15309.5,,
Windows Server 2025,VMware,VM,sysbench_cpu,cpu_multi_events_per_sec,events/s,10,4329.903,4332.38,6.5015,0.15,4312.16,4334.21,,
Windows Server 2025,VMware,VM,sysbench_cpu,cpu_multi_latency_avg,ms,10,0.921,0.92,0.0032,0.34,0.92,0.93,,
Windows Server 2025,VMware,VM,sysbench_cpu,cpu_multi_latency_max,ms,10,6.571,4.365,6.1353,93.37,3.73,23.92,,
Windows Server 2025,VMware,VM,sysbench_cpu,cpu_multi_latency_p95,ms,10,0.945,0.94,0.0158,1.67,0.94,0.99,,
Windows Server 2025,VMware,VM,sysbench_cpu,cpu_single_events_per_sec,events/s,10,1127.158,1127.42,0.6911,0.06,1125.51,1127.79,,
Windows Server 2025,VMware,VM,sysbench_cpu,cpu_single_latency_avg,ms,10,0.89,0.89,0.0,0.0,0.89,0.89,,
Windows Server 2025,VMware,VM,sysbench_cpu,cpu_single_latency_max,ms,10,4.497,3.695,2.3885,53.11,3.63,11.28,,
Windows Server 2025,VMware,VM,sysbench_cpu,cpu_single_latency_p95,ms,10,0.92,0.92,0.0,0.0,0.92,0.92,,
Windows Server 2025,VMware,VM,sysbench_memory,mem_read_bandwidth,MiB/s,10,31277.577,31890.28,1015.363,3.25,29345.33,31984.77,,
Windows Server 2025,VMware,VM,sysbench_memory,mem_read_ops_per_sec,ops/s,10,32028237.468,32655647.33,1039732.6157,3.25,30049617.73,32752406.4,,
Windows Server 2025,VMware,VM,sysbench_memory,mem_write_bandwidth,MiB/s,10,12251.416,12137.89,258.4493,2.11,11996.61,12770.46,,
Windows Server 2025,VMware,VM,sysbench_memory,mem_write_ops_per_sec,ops/s,10,12545450.446,12429204.07,264651.4302,2.11,12284523.62,13076949.18,,
