Host_OS,Platform,Isolation_Type,Test_Type,Metric,Unit,n,mean,median,stdev,cv_pct,min,max,overhead_pct_vs_baremetal,efficiency_ratio_pct,n_trimmed,trimmed_mean,trimmed_median,trimmed_stdev,trimmed_cv_pct,trimmed_overhead_pct,trimmed_efficiency_ratio_pct,iqr_outliers
Ubuntu 24.04 LTS,VirtualBox,VM,sysbench_cpu,cpu_multi_latency_max,ms,10,8.722,7.82,2.9172,33.45,7.51,17.0,627.44,727.44,8,7.8388,7.82,0.225,2.87,756.69,856.69,1
Ubuntu 24.04 LTS,VirtualBox,VM,sysbench_cpu,cpu_multi_latency_p95,ms,10,0.928,0.92,0.0103,1.11,0.92,0.94,14.57,114.57,8,0.9275,0.92,0.0104,1.12,14.51,114.51,0
Ubuntu 24.04 LTS,VirtualBox,VM,sysbench_cpu,cpu_single_events_per_sec,events/s,10,1137.86,1134.605,6.4633,0.57,1131.9,1146.38,11.97,88.03,8,1137.54,1134.605,6.1765,0.54,11.99,88.01,0
Ubuntu 24.04 LTS,VirtualBox,VM,sysbench_cpu,cpu_single_latency_avg,ms,10,0.877,0.88,0.0048,0.55,0.87,0.88,13.9,113.9,8,0.8775,0.88,0.0046,0.53,13.96,113.96,0
Ubuntu 24.04 LTS,VirtualBox,VM,sysbench_cpu,cpu_single_latency_max,ms,10,6.278,2.175,9.4747,150.92,1.4,29.83,579.44,679.44,8,3.9437,2.175,5.1526,130.65,332.78,432.78,2
Ubuntu 24.04 LTS,VirtualBox,VM,sysbench_cpu,cpu_single_latency_p95,ms,10,0.89,0.89,0.0,0.0,0.89,0.89,15.58,115.58,8,0.89,0.89,0.0,0.0,15.58,115.58,0
Ubuntu 24.04 LTS,VirtualBox,VM,sysbench_memory,mem_read_bandwidth,MiB/s,10,30710.422,30744.035,309.3453,1.01,30076.95,31066.04,4.7,95.3,8,30745.1538,30744.035,215.0912,0.7,4.81,95.19,0
Ubuntu 24.04 LTS,VirtualBox,VM,sysbench_memory,mem_read_ops_per_sec,ops/s,10,31447472.16,31481888.78,316770.2617,1.01,30798795.29,31811628.38,4.7,95.3,8,31483037.2413,31481888.78,220253.1511,0.7,4.81,95.19,0
Ubuntu 24.04 LTS,VirtualBox,VM,sysbench_memory,mem_write_bandwidth,MiB/s,10,11838.496,11873.46,287.5008,2.43,11449.95,12306.17,7.22,92.78,8,11828.605,11873.46,230.9733,1.95,7.34,92.66,0
Ubuntu 24.04 LTS,VirtualBox,VM,sysbench_memory,mem_write_ops_per_sec,ops/s,10,12122618.647,12158422.05,294400.0142,2.43,11724750.85,12601514.75,7.22,92.78,8,12112490.1088,12158422.05,236516.7936,1.95,7.34,92.66,0
